milliseconds_played,timestamp,track_name,album_name,artist_name,popularity_normalized
304173,1435763805,Ain't My B*tch,Load,Metallica,0.5761181476
328200,1435764133,2 X 4,Load,Metallica,0.5479362724
398960,1435764532,The House Jack Built,Load,Metallica,0.5482728378
269573,1435764802,Until It Sleeps,Load,Metallica,0.6124728235
328133,1435765130,King Nothing,Load,Metallica,0.6129740447
261693,1435765392,Hero Of The Day,Load,Metallica,0.6037543681
498133,1435765904,Bleeding Me,Load,Metallica,0.5666044791
294200,1435766198,Cure,Load,Metallica,0.5325747095
240000,1435766438,Poor Twisted Me,Load,Metallica,0.5265158916
237440,1435766675,Wasting My Hate,Load,Metallica,0.5411230668
18436,1435766694,Mama Said,Load,Metallica,0.5944794788
193097,1435776511,Thorn Within,Load,Metallica,0.5272719459
133241,1435776649,Cool Kids/Riptide (Originally Performed by Echosmith and Vance Joy),Cool Kids/Riptide (Originally Performed by Echosmith and Vance Joy),Less Is More,0.7501354234
211786,1435779896,Knots,Passenger,Lisa Hannigan,0.5285377811
212300,1435780108,Chandelier,Chandelier,Kina Grannis,0.7289787788
197577,1435780306,Wherever You Will Go,Wherever You Will Go,Charlene Soraia,0.7024615273
250906,1435780558,Everlong - Acoustic Version,Greatest Hits,Foo Fighters,0.7088427242
28885,1435780587,Misery - Acoustic,Hands All Over,Maroon 5,0.6640996334
8916,1435780595,Maps (Acoustic) [feat. Ali Brustofski],Maps (Acoustic) [feat. Ali Brustofski],Corey Gray,0.6972874935
266078,1435780860,More Than Gravity,More Than Gravity,Colin & Caroline,0.673820912
22801,1435780883,Like I Can,Like I Can - Single,Gardiner Sisters,0.6776872994
194114,1435781077,Misery Business - Acoustic Version,RIOT!,Paramore,0.6145191248
32461,1435781110,All About That Bass,All About That Bass (Originally Performed By Trainor),Tyler Ward,0.6372160426
341506,1435781451,Bad Romance,Covered Up With Flowers,Lissie,0.5844393712
225976,1435781677,Thinking Out Loud,Thinking Out Loud,Jasmine Thompson,0.7019018316
226000,1435781904,Impossible (Acoustic),Unreleased (EP),Maddi Jane,0.6795814184
253200,1435782157,Riptide,Spotify Sessions,MisterWives,0.6698842698
207253,1435782427,No Ordinary Love - Live at Eddie's Attic,Live At Eddie's Attic,The Civil Wars,0.6897078664
188778,1435787145,Cactus In the Valley (feat Owl City) [Acoustic] - JOHNNYSWIM,Cactus In the Valley (feat Owl City) [Acoustic],Lights,0.4466497561
232106,1435856172,No Need For Sanity - Miwon Version,Pale Glitter,Miwon,0.300864711
295280,1435856468,Dammerung,Draft Battle,Depth Affect,0.3393515757
246000,1435856715,La Dilettante,Room to Expand,Hauschka,0.2831553905
121482,1435856837,Curious Process,Reflective,Podington Bear,0.2760789085
134613,1435856972,Snow Tip Cap Mountain,"Hello, Avalanche",The Octopus Project,0.3891232072
208608,1435857180,"IO, Apollo, and the Veil",Be One of Us and Hear No Noise,Metavari,0.3187004549
6977,1435857543,"IO, Apollo, and the Veil",Be One of Us and Hear No Noise,Metavari,0.3187004549
321226,1435857865,Standard Error,Orcas,Orcas,0.3173500584
361560,1435858480,Christiane,My Mind Is Falling To Pieces,Melodium,0.3282526366
323906,1435858805,Brandon,Start Breaking My Heart (Special Edition),Caribou,0.381788491
417653,1435859223,A Phantasy,Hexadecagon,The Octopus Project,0.3585905212
160146,1435859384,Come Back,Boamaster,Èglantine Gouzy,0.2572696541
247627,1435859632,Come To Dust,Tomorrow's Harvest,Boards of Canada,0.4854431335
219933,1435859852,Orem Owls,Alpine Sequences,OK Ikumi,0.2873276085
77926,1435865197,Utopia,Utopia (Original Television Soundtrack) - Single,Cristobal Tapia De Veer,0.4408420354
224106,1435865421,Window,In a Safe Place,The Album Leaf,0.5402280608
263226,1435865684,Thule,In a Safe Place,The Album Leaf,0.4536936348
271813,1435865956,On Your Way,In a Safe Place,The Album Leaf,0.4477736833
340840,1435866297,Twentytwofourteen,In a Safe Place,The Album Leaf,0.6487630406
101796,1435870294,The Outer Banks,In a Safe Place,The Album Leaf,0.4528932666
223654,1435936755,The Sound Of Sunshine,The Sound Of Sunshine,Michael Franti & Spearhead,0.6209490409
198373,1435936954,Strangers,"Lola Versus Powerman and the Money-Go-Round, Pt. 1",The Kinks,0.6065882828
255066,1435937209,Lovely Day,Greatest Hits: Lean On Me,Bill Withers,0.7138001925
142226,1435937352,We're Going To Be Friends,White Blood Cells,The White Stripes,0.6543976247
222600,1435937575,Great Summer,Great Summer,Vance Joy,0.6674018535
153240,1435937729,Wouldn't It Be Nice - 2000 - Remaster,Pet Sounds,The Beach Boys,0.6672905057
1021,1435969976,Fly,Floored,Sugar Ray,0.644629397
179346,1435970155,Pictures,Pictures EP,Benjamin Francis Leftwich,0.6521712669
219466,1435970375,Poison & Wine,Barton Hollow,The Civil Wars,0.6904368808
214786,1435970590,Higher Love,We Don't Eat EP,James Vincent McMorrow,0.652385175
215346,1435970806,Things That Stop You Dreaming,All the Little Lights,Passenger,0.5854144049
241106,1435971047,In The Morning,Birthdays,Keaton Henson,0.575526478
401413,1435971449,Re: Stacks,"For Emma, Forever Ago",Bon Iver,0.7206718385
393493,1435971843,Be the Song,Melrose EP,Foy Vance,0.6591646489
222946,1435972067,Cherry Blossoms,Country Sleep,Night Beds,0.5998576379
196453,1435972264,All the Wild Horses,Trouble,Ray LaMontagne,0.5594368077
346,1436038368,Pictures,Pictures EP,Benjamin Francis Leftwich,0.6521712669
346,1436038474,Pictures,Pictures EP,Benjamin Francis Leftwich,0.6521712669
1021,1436106550,Twilight,From A Basement On The Hill,Elliott Smith,0.5873717298
248463,1436106798,Teenage Talk,Teenage Talk,St. Vincent,0.5881582076
179960,1436106978,Ghosts,Alas I Cannot Swim,Laura Marling,0.6573948268
226000,1436107205,Black Metal,All I Want: The Sonic Factory Sessions (EP),Max Jury,0.6339483457
243320,1436107449,Things Happen,All Your Favorite Bands,Dawes,0.6420253487
346,1436107485,Pictures,Pictures EP,Benjamin Francis Leftwich,0.6521712669
193240,1436107643,Call Me In The Afternoon,Spotify Sessions,Half Moon Run,0.6250918989
251014,1436107894,Fall,7 Layers,Dotan,0.5274847355
218120,1436108113,Trying to Be Cool - Stripped Down Version,Spotify Sessions,Phoenix,0.5138994798
231826,1436108345,Just One Of The Guys,Just One Of The Guys,Jenny Lewis,0.5899476165
275306,1436108621,Mykonos,Sun Giant,Fleet Foxes,0.7097057927
237160,1436108858,Old Friend,Old World Romance,Sea Wolf,0.4610990244
288140,1436109147,B a noBody,Before We Forgot How To Dream,SOAK,0.6905554947
156866,1436109304,Put Me To Work,Tender Madness,PAPA,0.5268594904
212800,1436109518,Dearly Departed (feat. Esmé Patterson),And The War Came,Shakey Graves,0.6882664849
215520,1436109734,Ways To Go,Spreading Rumours,Grouplove,0.7107352464
174533,1436109909,You're the Best,Wet,Wet,0.6595422031
307697,1436110217,Should Have Known Better,Carrie & Lowell,Sufjan Stevens,0.7210001243
261629,1436110479,Bushwick Blues,Spotify Sessions,Delta Spirit,0.547472563
286733,1436110766,Drive (Live),"Ricochets: The Echoes Living Room Concerts, Vol. 20",Marissa Nadler,0.5457220872
271441,1436111038,Thunder Clatter,Youth,Wild Cub,0.6785498767
174000,1436111213,Northern Lights,Upper Air,Bowerbirds,0.6186067687
226519,1436111440,101 Vultures,101 Vultures,Alex Winston,0.6158740805
281100,1436111721,Southern Sun,Harlequin Dream,Boy & Bear,0.6390554773
197873,1436111920,Don't You Give Up On Me,Milo Greene,Milo Greene,0.5585141583
222408,1436112143,All Yours,All Yours,Widowspeak,0.5754749071
170800,1436112314,Killer,Killer,Phoebe Bridgers,0.5785229393
319706,1436112634,Don't Tell Our Friends About Me,Heigh Ho,Blake Mills,0.6143579786
155026,1436112790,All I Want Is to Be Your Girl,Holly Miranda,Holly Miranda,0.582406418
267040,1436113057,Can't You Tell,The Errant Charm,Vetiver,0.546665735
348080,1436113406,#88,#88,Lo-Fang,0.6593930492
236573,1436113643,True Affection,"I Love You, Honeybear",Father John Misty,0.6398010487
195746,1436113839,Dreams,Wet,Wet,0.5951770258
262520,1436114102,Every Time the Sun Comes Up,Are We There,Sharon Van Etten,0.6238063469
304586,1436114407,A Little Lost,A Little Lost - Single,Sufjan Stevens,0.5767242101
213472,1436114621,Higher Love,Silver Lining,James Vincent McMorrow,0.715095672
1020,1436123182,Another One,Another One,Mac Demarco,0.5776240051
201986,1436123384,Money Can't Buy (Single),Money Can't Buy (Single),Howard,0.6411514722
267130,1436123652,REALiTi (Demo),REALiTi (Demo),Grimes,0.6555535906
264613,1436123917,The Best Room,Strangers to Ourselves,Modest Mouse,0.6295210217
200160,1436124117,Hey Mami,Sylvan Esso,Sylvan Esso,0.6642921501
246759,1436124365,Tide Teeth,Tide Teeth,Night Beds,0.6104826551
228826,1436124594,Dream Lover,Dream Lover,Destroyer,0.4874041176
232960,1436124827,Upward Mobility,The Helio Sequence,The Helio Sequence,0.5124143657
307697,1436125136,Should Have Known Better,Carrie & Lowell,Sufjan Stevens,0.7210001243
284120,1436125420,Torturer,A Distant Fist Unclenching,Krill,0.4450387193
204706,1436125626,You're the One That I Want,Blue Film,Lo-Fang,0.6844751754
321133,1436125947,Sparks,Sparks,Beach House,0.477518086
232029,1436126180,Jungle,Jungle,Panama,0.5563175257
232439,1436126413,How Could You Babe,How Could You Babe,Tobias Jesso Jr.,0.5935754121
222920,1436126636,Strange Darling,Strange Darling,Miya Folick,0.5655381549
246066,1436126883,Bury Me Deep,Bury Me Deep,Ivan & Alyosha,0.4701318804
223205,1436127106,Empty Nesters,Empty Nesters,Toro y Moi,0.5588919812
239933,1436127347,Minimal Affection,English Graffiti,The Vaccines,0.6122486822
259600,1436127607,The World Is Crowded,Multi-Love,Unknown Mortal Orchestra,0.5976565051
285173,1436127893,Just A Dream,Goon,Tobias Jesso Jr.,0.5572617891
